s1_id,target_id,country,source,rank_in_arrival,channels,model_score,was_predicted_uncapped,would_pass_tau,s1_name,target_name,s1_addr,target_addr
S1-100018681,S3-577692982,India,S3,152,tok_num,1.0000,True,True,White Builders Private Limited,Iriumbra Labs Formerly White Builders Private Limited,"106 J/66 Millepuram, Tuticorin, Tirunelveli, Tamil Nadu","106 J/66 Millepuram, Tuticorin, Tirunelveli, Tamil Nadu"
S1-100097088,S3-288694311,US,S3,65,token_sort+tok_num+strip_name,1.0000,True,True,Prime Technical Dynamics LLC,Prime Technical Dynamics-LLC,"NM, Kirtland, 21 Road 6536","21 Raod 6536, Kirtlannd, New Mexico"
S1-100097088,S3-54786152,US,S3,86,tok_num,0.9998,True,True,Prime Technical Dynamics LLC,Brixsolbelo formerly known as Prime Technical Dynamics LLC,"NM, Kirtland, 21 Road 6536","21 Road 6536, Kirtland, NM"
S1-100517307,S3-936502397,US,S3,92,token_sort+tok_num+strip_name,0.9998,True,True,Allied Cascade Landscaping Corp,Allied Cascade Landscaping,"11515 Rd 11-J, Ottawa, OH","<NULL>, Ohio, 11515 Rd 11-J, Ottawa"
S1-100698162,S2-701103505,India,S2,59,token_sort+tok_num+strip_name,0.9998,True,True,Shivam High Technology Private Limited,Shivam High Technology Private Ltd,"27/4 Divya Darshan Commercial Complex Dahanukar Colony Kothrud, Pune, Maharashtra","27/4 DIVYA DARSHAN COMMERCIAL COMPLEX DAHANUKAR COLONY KOTHRUD, PUNE, Maharashtra"
S1-100698162,S3-521898810,India,S3,868,token_sort+tok_num+strip_name,1.0000,True,True,Shivam High Technology Private Limited,Shivam High Technology  Private Limited,"27/4 Divya Darshan Commercial Complex Dahanukar Colony Kothrud, Pune, Maharashtra","No 027/4 Divya Darshan Commercial Complex Dahanukar Colony Kothrud, Pune, MH"
S1-10071224,S3-584066483,US,S3,53,token_sort+tok_num+strip_name,0.9964,True,True,Direct Clear Blueport,Direct Clear [Blueport],"2924 Market Street, Unit 6, Hannibal, MO","# 6, Missouri, Hannibal, 5924 Market St"
S1-10071224,S3-889061536,US,S3,121,tok_num,0.9731,True,True,Direct Clear Blueport,Direct Clear,"2924 Market Street, Unit 6, Hannibal, MO","Market St, # 6, Hannibal, Missouri"
S1-100766861,S3-92967635,US,S3,90,tok_num,0.9951,True,True,Jenine Kasper Safe Center,Jenine Kdspr Safe Center,"Southwick, MA, 8 Two States Avenue","8 Two States Ave, PO Box 9853, Southwick, Massachusetts"
S1-100845882,S2-509115453,India,S2,64,tok_num,0.9988,True,True,Ahmed Projects Private Limited,AHMED PROJECT5 PRIVATE ((LIMITED)),"11-20-4/130, Surya Saroj Apartments, Huda Complex, Lb Nagar, Hyderabad, Telangana","11-20-4/130, SURYA SAROJ APARTMENTS, HUDA COMPLEX, LB NAGAR, HYDERABAD, Telangana"
S1-100845882,S2-483537761,India,S2,402,token_sort+tok_num+strip_name,0.9987,True,True,Ahmed Projects Private Limited,Ahmed Projects Private Ltd,"11-20-4/130, Surya Saroj Apartments, Huda Complex, Lb Nagar, Hyderabad, Telangana","11-20-4/130, SURYA SAROJ APARTMENTS, HUDA COMPLEX, LB NAGAR, HYDERABAD, తెలంగాణ"
S1-100845882,S2-499587446,India,S2,672,token_sort+strip_name,0.9353,False,False,Ahmed Projects Private Limited,Ahmed Projects  Private Limited,"11-20-4/130, Surya Saroj Apartments, Huda Complex, Lb Nagar, Hyderabad, Telangana",
S1-101018227,S3-147171463,India,S3,751,tok_num,0.9978,True,True,Shivam Technology Private Limited,Pivaet Shivam Technology Limited,"H. No 20, Jyoti Nagar, Near Kendriya Vidhyalay 3, Huzur, Bhopal, Madhya Pradesh","20, Jyoti Nagar, Near Kendriya Vidhyalay 3, Huzur, Bhopal, MP"
S1-101018227,S3-832496299,India,S3,799,token_sort+tok_num+strip_name,0.9999,True,True,Shivam Technology Private Limited,Shivam Technology Private Limited,"H. No 20, Jyoti Nagar, Near Kendriya Vidhyalay 3, Huzur, Bhopal, Madhya Pradesh","20, Bhopal, Huzur, MP"
S1-101153630,S3-225074129,India,S3,58,token_sort+tok_num+strip_name,0.9998,True,True,Shiv Consultancy Private Limited,Shiv Consultancy,"C/O Arun Kumar 6107, Ananda, Mohali, Punjab","Mohali, Punjab, C/O Arun Kumar 6107, Mohali, Ananda"
S1-101153630,S3-695455660,India,S3,61,token_sort+tok_num+strip_name,0.9559,True,True,Shiv Consultancy Private Limited,Private Shiv Consultancy Limited,"C/O Arun Kumar 6107, Ananda, Mohali, Punjab","H.no 503 C/o Arun Kumar 6107, Ananda, Mohali, PB"
S1-101606467,S3-733281037,India,S3,702,token_sort+tok_num,0.9997,True,True,Shree Krishna Hospitality Private Limited,Shree Hospitality Krishna Private Limited,"88 Makawana Road, Marol Naka, Marol, 18 Apurva Industrial Estate, Andheri (East), Maharashtra, Mumbai","H.no ##18 Apurva Industrial Estate, 88 Makawana Road, Marol Naka, Marol, Andheri (East), Mumbai (SUBURBAN), MH"
S1-101683087,S3-415585697,US,S3,92,token_sort+strip_name,0.9983,True,True,Autism Assistance Ministries,Autism Assistance (Ministries),"1200 W Creek Village Drive, Elkton, MD","120 West Creek Village Drive, Elkton, Maryland"
S1-101683087,S3-540009018,US,S3,116,token_sort+strip_name,0.3958,False,False,Autism Assistance Ministries,Autism Assistance Ministries (Corp),"1200 W Creek Village Drive, Elkton, MD","120 West Creek Village Drive, PO Box 2406, Elkton, Maryland"
S1-101872960,S2-297281939,India,S2,287,tok_num,0.9995,True,True,Eastern Consulting Pvt Ltd,Smt Eastern Consulting Pvt,"7, North Madavala St, S.Kannanur, Tiruchirapalli, Tiruchirappalli, Tamil Nadu","7, NORTH MADAVALA ST, S.KANNANUR, TIRUCHIRAPALLI, Tamil Nadu"
S1-101872960,S3-96869985,India,S3,1134,token_sort+tok_num+strip_name,0.9999,True,True,Eastern Consulting Pvt Ltd,Eastern Consulting  Pvt Ltd,"7, North Madavala St, S.Kannanur, Tiruchirapalli, Tiruchirappalli, Tamil Nadu","7, Tiruchirapalli, Tiruchirappalli, TN"
