s1_id,target_id,country,category,s1_name,target_name,s1_addr,target_addr
S1-203610061,S2-563432611,US,transliteration,Randolph Iris,randolphiris.com,"310 Iddings Street, Kendallville, IN","IDDINGS STREET, KENDALLVILLE, IN"
S1-302385226,S2-420261631,India,severe_name_variation,Blue Tech LLP,ब्लू टेक एलएलपी,"Main Rd Koregaonpark, Maharashtra, Pune City, Pune, Shop No3 Mit Corner North","SHOP NO9-3 MIT CORNER NORTH, MAIN RD KOREGAONPARK, PUNE CITY, PUNE, महाराष्ट्र"
S1-240438507,S2-58879107,India,address_only_linkage,Jay Logistics Private Limited,জয় লজিস্টিকস প্রাইভেট লিমিটেড,"H/No-1, Bl-16 Jagaddal, Kolkata, Parganas North, West Bengal","H/NO-7, BL-16 JAGADDAL, PARGANAS NORTH, KOLKATA, West Bengal"
S1-289036831,S3-544869510,US,address_only_linkage,Platinum Associated PC,platinumass0ciated.com,"3224 Marshall Road, Unit 3, Kettering, OH","03224 Marshall Rd, # 3, Kettering, Ohio"
S1-252310937,S3-449512486,US,numeric_address_formatting,Studio 29 Hair Studio,Studio 29-Hair,"Chicago, 1948 Nashville Avenue, IL","1947 Nashville Ave, Illinois, Elmwood Park"
S1-288696417,S2-623698086,US,address_only_linkage,Oncology Associates LLC,oncologyassociates.com,"NY, 11 Jericho Lane, East Hampton","11 JERICHO LN, EAST HAMPTON, NY"
S1-229841787,S3-15586566,India,transliteration,Skylark Buildtech Private Limited,Sri buildtechskylark.com,"1A, Raja Subodh Mullick Sqaure, Kolkata, Kolkata, Howrah, West Bengal","1A, Raja Subodh Mullick Sqaure, Kolkata, Digha Via Dattapukur Dist 24 North Pargana, Kolkata, WB"
S1-323075580,S3-475243375,India,address_only_linkage,Hotel Products Private Limited,privateproductscom,"Flat No -7 &8, 215, 3Rd Floor, Riddhi Premises Chs Sir M. V. Road, Near Court Lane, Andheri, - East, Mumbai, Mumbai City, Maharashtra","Mumbai City, Mumbai, Flat No -#7 &8, MH"
S1-249282008,S2-674438160,India,address_only_linkage,Auro Hospital,@aurohospital,"H No 26 K B Road Bauruni, Khandak Model House, Lucknow, Uttar Pradesh","H.NO 26 K B ROAD BAURUNI, KHANDAK MODEL HOUSE, LUCKNOW, Uttar Pradesh"
S1-240505255,S3-758767998,India,address_only_linkage,Guru Products Private Limited,গুরু প্রোডাক্টস প্রাইভেট লিমিটেড,"Mk Point, 27 Bentinck Street 5Th Floor, Suit No 503, Kolkata, Kolkata, Howrah, West Bengal","Mk Point, 27 Bentinck Street 5Th Floor, Suit No 503, Kolkata, Kolkata, Howrah, WB"
