s1_id,target_id,country,source,model_score,category,s1_name,target_name,s1_addr,target_addr
S1-197290320,S3-602463968,India,S3,0.9944,partial_name_overlap,Thane Construction Private Limited,Thane Technologies,"Office No 1002 10Th Floor Satra Plaza Palm Beach Road Vashi, Thane, Maharashtra, Navi Mumbai","1002, Thane, MH"
S1-312888455,S2-281496870,India,S2,0.9845,partial_name_overlap,Sai Modern Engineering LLP,Mr -- Seven Engineering-[Limited],"Telangana, Hyderabad, H.No.5-7-25/1/A, Sangeeth Nagar Near Metro, Kukatpally, Tirumalagiri, Hyderabad, Telangana","HYDERABAD, Telangana, H.NO.1-1-1/18/1"
S1-325886926,S2-684135453,US,S2,0.9993,address_confusion,Great Guild II,GREAT GUILD IVI LTD,"1959 Conner Station Road, Simpsonville, KY","1959 CONNER STATION ROAD, SIMPSONVILLE, KY"
S1-287107664,S2-52654808,India,S2,0.9660,same_chain_different_branch,Tribhuwan Commosales Ltd,TRIBHUWAN COMMOSALES GROUP LTD,"31-25-49/18, Sri Krishna Nagar, 4Th Line, Kurmannapalem, Visakhapatnam, Visakhapatnam, Vishakhapatnam, Andhra Pradesh","31-25-49/29, SRI KRISHNA NAGAR, 4TH LINE, KURMANNAPALEM, VISAKHAPATNAM, VISAKHAPATNAM, Andhra Pradesh"
S1-239808289,S3-76088708,India,S3,0.9973,partial_name_overlap,Mumbai Solutions Ltd,Mumbai Entetaienefnt Private (Limited),"Floor-2, Plot-12/14, Attarwala Bldg, Mirza Street, Zaveri Bazar, Mandvi, Mumbai, Maharashtra","14/2, Mumbai, MH"
S1-280506521,S2-658406948,US,S2,0.9500,generic_name_collision,Hernandez & Jewett LLC,HERNANDEZ & JEWETT LLC,"317 Main Street, Clinton, CT","345 Beaverdam Street, CANTON, NC"
S1-256128051,S3-333477264,India,S3,0.9824,partial_name_overlap,Global Estate Private Limited,MOF Estate,"2Nd Floor Office No.1 Anant Space Virar, Mumbai, Mumbai City, Maharashtra","Office No.1, Mumbai, Nashik, महाराष्ट्र"
S1-132915840,S2-451582344,India,S2,0.9748,partial_name_overlap,Guru Care,Limited Guru Impex Services,"Sr No. 80/2/1 Atul Nagar, Flat No. 204, Gulab Shilp, Pune City, Pune, Maharashtra","#1-2, YAVATMAL, Maharashtra"
S1-264258870,S3-786512309,India,S3,0.9805,same_chain_different_branch,Roseate Structures Private Limited,Roseate  Structures Enterprises Private,"8-2-293/82/L/96-C, Road No 12, Mla Colony, Banjara Hills, Hyderabad, Telangana","8-2-293/82/L/101-C, తెలంగాణ, Hyderabad"
S1-128490487,S3-100592037,India,S3,0.9899,partial_name_overlap,Cosmopolitan Institute Ltd,C0smopolitan Institute Ltd,"1St Floor, 1 B Near Nsit Vishrantika Apartment, Dwarka, Sector 3, New Delhi, B-13 Type Oth, Delhi, West Delhi","M-13, New Delhi, N/A, DL"
S1-163344303,S2-742573717,India,S2,0.9972,generic_name_collision,Kolkata Technologies Private Limited,Kolkata Technologies Private Limited,"88 Muktaram Babu Street 2Nd Floor, Kolkata, Howrah, West Bengal","64 C COLOOTOLLA STREET, KOLKATA, West Bengal"
S1-240505255,S3-415717806,India,S3,0.9587,partial_name_overlap,Guru Products Private Limited,Guru Private Limited Center,"Mk Point, 27 Bentinck Street 5Th Floor, Suit No 503, Kolkata, Kolkata, Howrah, West Bengal","27, Calcutta, Howrah, WB"
S1-307527686,S2-309416976,India,S2,0.9881,address_confusion,Lakshmi Ecommerce Limited,Lakshmi Services Limited,"11/2, Meera Path Dhenu Market, Indore, Madhya Pradesh","11/11., MEERA PATH DHENU MARKET, Madhya Pradesh"
S1-240137079,S2-485982344,India,S2,0.9933,address_confusion,Sharat & Sons Private Limited,Shri Sunlight & Sons Pvt Ltd.,"Shop No. 208, 2Nd Floor, Plot 2, Lsc Scetor 19 Vardhman Crown Mall Dwarka, New Delhi, South West Delhi, Delhi","Delhi, #208 , 2ND FLOOR, PLOT 2, LSC SCETOR 19 VARDHMAN CROWN MALL DWARKA, NEW DELHI"
S1-202985008,S2-378310861,US,S2,0.9844,same_chain_different_branch,Urgent Care Associates Inc,URGENT CARE CENTER,"1724 Wright Street, Unit 1, Sacramento, CA","1 Summit Street, FAIRFIELD, ME"
S1-318239332,S2-633475030,India,S2,0.9926,partial_name_overlap,Noida Solutions,Pvt Noida Web Ltd.,"Uttar Pradesh, Noida, Noida Gautam Buddh Nagar, Gautam Buddha Nagar, D 70 2Nd Fioor Sector L0","GAUTAM BUDDHA NAGAR, A-17 SECOR-70, Uttar Pradesh, NOIDA"
S1-1691040,S3-431833561,India,S3,0.9856,same_chain_different_branch,Aditya Builders Private Limited,Aditya Builders Private,"House No. 5635, Front Portion 2Nd Floor Ward-12 Gali No-1, New Chandra Wal Subji, Mandi, Delhi, North Delhi, Delhi","C-1-18, New Delhi, DL"
S1-205163007,S3-878941091,India,S3,0.9893,partial_name_overlap,S.A.S.Nagar (Mohali) Estates Limited,Limited S.A.S.Nagar (Mohali) App Enterprises,"Stpi Incubation Center, 3Rd Floor, Plot No. C-184, Industrial Area, Phase Viiia, Sector 75, S.A.S.Nagar (Mohali), Rupnagar, Punjab","61-75, PB, Rupnagar, S.a.s.nagar (Mohali)"
S1-324634551,S3-360771041,India,S3,0.9854,partial_name_overlap,New Delhi Manganese Private Limited,New Delhi International Private (Limited),"38 Harsh Vihar, Pitampura, New Delhi, North Delhi, Delhi","C-38, NULL, New Delhi, DL"
S1-247827480,S3-170757960,India,S3,0.9569,partial_name_overlap,Creative Foods Private Limited,Gold Foods Creative Private [Limited],"25Th Cross Street, 4Th Avenue, Indira Nagar, Chennai, Tamil Nadu, No. 2/15, Chennai, Chennai City Corporation","#2.N.No.16 Sunguvar (A) Street, Chennai, TN"
