s1_id,target_id,country,source,v3_rank,v3_score,model_score
S1-100018681,S3-577692982,India,S3,54,0.7061,1.0000
S1-100080133,S2-757246975,US,S2,1,1.0000,1.0000
S1-100080133,S2-239458386,US,S2,2,1.0000,1.0000
S1-100097088,S3-288694311,US,S3,1,1.0000,1.0000
S1-100097088,S3-54786152,US,S3,2,0.7382,0.9998
S1-100200459,S3-989744528,India,S3,1,0.8667,0.5848
S1-100200459,S3-243949530,India,S3,2,0.8667,0.5848
S1-100200459,S2-23408368,India,S2,3,0.8667,0.1825
S1-100200459,S2-114173018,India,S2,4,0.8667,0.2311
S1-10047415,S2-724152979,US,S2,1,0.9000,0.9991
S1-10047415,S2-701820576,US,S2,2,0.9000,1.0000
S1-10047415,S3-950298054,US,S3,11,0.5120,0.9569
S1-100517307,S3-936502397,US,S3,1,1.0000,0.9998
S1-100517307,S2-327492002,US,S2,3,0.8212,0.9996
S1-10060098,S3-982790094,US,S3,1,1.0000,1.0000
S1-10060098,S2-370123146,US,S2,2,0.9000,0.9979
S1-10060098,S2-744419107,US,S2,3,0.7667,0.9992
S1-10060098,S3-48209400,US,S3,4,0.7396,0.9605
S1-10060098,S3-884533774,US,S3,6,0.6476,0.9960
S1-10060098,S2-526195150,US,S2,7,0.5762,0.9892
S1-100650547,S2-404888937,India,S2,1,1.0000,0.9990
S1-100650547,S3-172873998,India,S3,2,0.7667,0.7184
S1-100698162,S3-521898810,India,S3,1,1.0000,1.0000
S1-100698162,S2-701103505,India,S2,2,1.0000,0.9998
S1-10071224,S3-584066483,US,S3,1,0.8667,0.9964
S1-10071224,S2-71133733,US,S2,2,0.7667,0.3790
S1-10071224,S2-507759778,US,S2,4,0.7667,0.7656
S1-10071224,S3-889061536,US,S3,5,0.6847,0.9731
S1-100725527,S3-265896733,US,S3,1,1.0000,1.0000
S1-100725527,S3-878135346,US,S3,2,0.8000,0.9998
S1-100730294,S2-119330211,US,S2,1,1.0000,1.0000
S1-100730294,S2-119152237,US,S2,2,1.0000,1.0000
S1-100730294,S2-497962260,US,S2,3,0.9000,0.9999
S1-100766861,S2-950098201,US,S2,1,0.8967,0.9999
S1-100766861,S2-727222045,US,S2,2,0.8917,0.9996
S1-100766861,S2-685270205,US,S2,3,0.8917,0.9996
S1-100766861,S3-92967635,US,S3,11,0.6256,0.9951
S1-100766966,S3-221131847,India,S3,1,1.0000,0.9979
S1-100766966,S2-872365614,India,S2,2,1.0000,0.9996
S1-100766966,S2-18145524,India,S2,3,1.0000,0.9996
S1-100766966,S3-387455714,India,S3,22,0.6238,0.9981
S1-100826062,S2-594114242,US,S2,1,1.0000,1.0000
S1-100826062,S3-186884249,US,S3,2,0.8090,0.9995
S1-100826062,S2-360548375,US,S2,3,0.7862,0.9998
S1-100826062,S3-92804215,US,S3,4,0.7667,0.9801
S1-100845882,S2-483537761,India,S2,1,1.0000,0.9987
S1-100845882,S2-499587446,India,S2,3,0.7667,0.9353
S1-100845882,S2-509115453,India,S2,5,0.7396,0.9988
S1-101018227,S3-832496299,India,S3,2,0.9000,0.9999
S1-101018227,S3-147171463,India,S3,986,0.7515,0.9978
S1-101037109,S2-914619479,US,S2,1,0.9000,0.9563
S1-101037109,S2-448480840,US,S2,2,0.9000,0.9998
S1-101079505,S2-730336350,US,S2,1,1.0000,0.9997
S1-101079505,S3-656253134,US,S3,2,0.9000,1.0000
S1-101079505,S2-565361666,US,S2,3,0.7985,0.9986
S1-101153630,S3-225074129,India,S3,1,1.0000,0.9998
S1-101153630,S3-695455660,India,S3,2,0.9000,0.9559
S1-101153630,S3-183832822,India,S3,3,0.9000,0.9999
S1-101153630,S3-880249053,India,S3,62,0.6738,0.9646
S1-101198918,S3-779651672,India,S3,1,1.0000,1.0000
S1-101198918,S3-428490505,India,S3,2,1.0000,0.9985
S1-101198918,S2-983944737,India,S2,3,0.9000,0.9635
S1-101198918,S2-677805588,India,S2,4,0.9000,0.9820
S1-10122638,S2-549159863,US,S2,1,1.0000,1.0000
S1-10122638,S2-199918248,US,S2,2,1.0000,0.9999
S1-101242918,S3-289979191,India,S3,1,0.8667,0.9978
S1-101242918,S2-907035737,India,S2,2,0.8667,0.9988
S1-101326835,S2-687640016,US,S2,1,0.9000,0.9999
S1-101350784,S2-688725897,US,S2,1,1.0000,1.0000
S1-101350784,S3-362375712,US,S3,5,0.7667,0.7429
S1-101350784,S2-373634878,US,S2,7,0.7667,0.9998
S1-101483878,S3-523021522,US,S3,1,1.0000,1.0000
S1-101483878,S2-573022329,US,S2,8,0.7667,0.9996
S1-101495358,S3-761345301,US,S3,1,1.0000,0.9996
S1-101495358,S3-159614312,US,S3,2,1.0000,1.0000
S1-101495358,S2-363240701,US,S2,3,1.0000,0.9997
S1-101495358,S2-49525787,US,S2,5,0.7667,0.9998
S1-101578159,S3-605126647,US,S3,1,1.0000,1.0000
S1-101578159,S3-742367982,US,S3,9,0.7667,0.7666
S1-101600459,S2-141941838,US,S2,24,0.7410,0.9989
S1-101605044,S3-414098578,US,S3,1,0.8619,0.9996
S1-101605044,S3-391015203,US,S3,2,0.8619,0.9997
S1-101605044,S3-662739034,US,S3,3,0.7748,0.9995
S1-101606467,S3-733281037,India,S3,1,0.9111,0.9997
S1-101683087,S2-794073113,US,S2,1,0.8083,0.9982
S1-101683087,S3-540009018,US,S3,19,0.7667,0.3958
S1-101683087,S3-415585697,US,S3,27,0.7667,0.9983
S1-101851756,S2-809147956,US,S2,1,1.0000,0.9997
S1-101851756,S3-730710749,US,S3,2,0.7667,0.3631
S1-101851756,S2-397988065,US,S2,3,0.6932,0.9884
S1-101872960,S3-96869985,India,S3,1,1.0000,0.9999
S1-101872960,S2-297281939,India,S2,24,0.7970,0.9995
S1-102014991,S2-830123664,India,S2,1,0.8667,0.9999
S1-102014991,S3-298787209,India,S3,2,0.7667,0.9993
S1-102047830,S3-592278018,India,S3,2,0.8667,0.7147
S1-102047830,S2-39263638,India,S2,3,0.8667,0.5097
S1-102088895,S2-450431100,US,S2,1,1.0000,0.9995
S1-102088895,S2-315545916,US,S2,2,1.0000,1.0000
S1-102088895,S2-69234347,US,S2,5,0.7667,0.7910
S1-102102658,S3-788607725,US,S3,1,0.9167,0.9997
S1-102102658,S3-863764355,US,S3,2,0.8895,0.9996
S1-102141839,S2-248093798,US,S2,1,1.0000,0.9998
S1-102141839,S3-444619731,US,S3,76,0.7667,0.5828
S1-102305540,S3-686472986,US,S3,1,1.0000,1.0000
S1-102305540,S2-698074213,US,S2,2,1.0000,1.0000
S1-102305540,S3-393849162,US,S3,4,0.5333,0.9964
S1-102459114,S2-829819118,US,S2,1,1.0000,0.9997
